"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"GICA5ZXD","webpage","2026","Ebipere K. Clark","ElectroYuan 2026 - Tianjin, dual circulation, and the currency of the energy transition","APRI","","","","https://afripoli.org/electroyuan-2026-tianjin-dual-circulation-and-the-currency-of-the-energy-transition","As energy systems transform, so do financial systems. This article explores how electrification projects and financing structures are reshaping the geography of currency use.","2026-02-26","2026-03-09 09:24:57","2026-03-11 09:11:19","2026-03-09 08:54:17","","","","","","","","","","","","APRI","","en","","","","","","","","","/Users/aprilt24/Zotero/storage/NNVP7T3J/APRI - 2026 - ElectroYuan 2026 - Tianjin, dual circulation, and.html","","China; ElectroYuan; Energy Transition; Renminbi; RMB; Global Finance; Currency Internationalisation; Geoeconomics; Infrastructure Finance; Global South","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VDZSAM7T","webpage","2026","David Omata","From Trade-Off to Synergy: Value-Added Transition Minerals as a Bridge between Climate Finance and Economic Growth in Nigeria","APRI","","","","https://afripoli.org/from-trade-off-to-synergy-value-added-transition-minerals-as-a-bridge-between-climate-finance-and-economic-growth-in-nigeria","This paper shows how Nigeria can use value-added processing of transition minerals to drive industrial growth, create jobs, and finance climate action through stronger governance.","2026-02-18","2026-03-09 09:42:40","2026-03-11 09:12:48","2026-03-09 09:27:33","","","","","","","From Trade-Off to Synergy","","","","","","","en","","","","","","","","","/Users/aprilt24/Zotero/storage/J792PT8S/APRI - 2026 - From Trade-Off to Synergy Value-Added Transition.html","","Energy Transition; Transition Minerals; Nigeria Mining; Economic Growth; Climate Finance; Lithium; Green Economy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DGWWC7XF","webpage","2025","Ebipere Clark","The Petrodollar vs. the Electroyuan","APRI","","","","https://afripoli.org/the-petrodollar-vs-the-electroyuan","Is the Electroyuan set to replace the Petrodollar? This article unpacks the global shift in power and finance as clean energy rises and climate goals reshape economic alliances.","2025-05-12","2026-03-09 10:48:00","2026-03-11 09:32:18","2026-03-09 10:46:43","","","","","","","","","","","","APRI","","en","","","","","","","","","/Users/aprilt24/Zotero/storage/I6T4II8S/APRI - 2025 - The Petrodollar vs. the Electroyuan.html","","Energy Transition; Global South; Climate Finance; Green Economy; China Green Tech; Sustainable Development; Geopolitics; US China Relations; Financial Innovation; Global Trade","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"38HTFGE3","webpage","2025","Ebipere Clark","The Foreign Exchange Constraint at the Heart of Development Finance","APRI","","","","https://afripoli.org/the-foreign-exchange-constraint-at-the-heart-of-development-finance","Climate finance can’t ignore FX limits. Without aligning projects to a country’s balance of payments reality, ambition risks stalling before it delivers lasting impact.","2025-11-05","2026-03-09 10:48:00","2026-03-11 09:30:08","2026-03-09 10:34:13","","","","","","","","","","","","APRI","","en","","","","","","","","","/Users/aprilt24/Zotero/storage/NFKRICJM/APRI - 2025 - The Foreign Exchange Constraint at the Heart of De.html","","Climate Finance; Local Currency Finance; Development Finance; Foreign Exchange Risk; FX Liquidity; Balance of Payments; Investment Sustainability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZH6G64GC","webpage","2026","Najim Animashaun","The Architecture of Pragmatism: Strategic Surveillance and the “Policy Spare Parts Bin”","APRI","","","","https://afripoli.org/the-architecture-of-pragmatism-strategic-surveillance-and-the-policy-spare-parts-bin","This short analyses explores the repurposing of established civilian policy instruments to support technical and security cooperation between the US and Nigeria, without the need for new formal agreements.","2026-02-12","2026-03-09 10:47:59","2026-03-11 09:28:37","2026-03-09 09:43:52","","","","","","","The Architecture of Pragmatism","","","","","","","English","","","","","","","","","/Users/aprilt24/Zotero/storage/QVMMMWS4/APRI - 2026 - The Architecture of Pragmatism Strategic Surveill.html","","AGOA; Trade Policy; Security Cooperation; Civilian Infrastructure; Security Policy; Strategic Statecraft; US Nigeria Relations","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97S8E5WQ","webpage","2025","Najim Animashaun","Nigeria’s Climate Agenda: New Directions in Policy and Diplomacy","APRI","","","","https://afripoli.org/nigerias-climate-agenda-new-directions-in-policy-and-diplomacy","Nigeria’s foreign policy can be a powerful tool for climate action. Discover how smarter diplomacy can unlock global finance, partnerships, and a stronger voice in climate negotiations.","2025-10-29","2026-03-09 10:47:59","2026-03-11 09:25:12","2026-03-09 10:39:14","","","","","","","Nigeria’s Climate Agenda","","","","","APRI","","en","","","","","","","","","/Users/aprilt24/Zotero/storage/5VFIBKVS/APRI - 2025 - Nigeria’s Climate Agenda New Directions in Policy.html","","Climate Action; Climate Diplomacy; Climate Diplomacy Nigeria; Foreign Policy; Global Climate Finance; South-South Cooperation; Climate Negotiations; Global South Cooperation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WA4X4VC8","webpage","2025","Teniola T. Tayo","Mainstreaming climate action into Nigeria’s Federal Ministry of Industry, Trade & Investment","APRI","","","","https://afripoli.org/mainstreaming-climate-action-into-nigerias-federal-ministry-of-industry-trade-investment","Explore how Nigeria’s trade ministry can lead the green transition by aligning industry, trade, and investment policies with climate action for a sustainable and resilient economy.","2025-07-24","2026-03-09 10:47:59","2026-03-11 09:20:50","2026-03-09 10:43:31","","","","","","","","","","","","APRI","","en","","","","","","","","","/Users/aprilt24/Zotero/storage/4TW9EA4A/APRI - 2025 - Mainstreaming climate action into Nigeria’s Federa.html","","Climate Finance; Climate Governance; Green Industrial Policy; climate action; Sustainable Trade","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N2ZQM8MP","webpage","2025","Mike Imafidor","Climate action and security: Integrating climate considerations in Nigeria’s policing framework","APRI","","","","https://afripoli.org/climate-action-and-security-integrating-climate-considerations-in-nigerias-policing-framework","Climate change is fueling insecurity in Nigeria. Explore how integrated policies can tackle the climate-security nexus and build a more resilient future.","2025-12-11","2026-03-09 10:47:59","2026-03-11 09:07:42","2026-03-09 10:32:39","","","","","","","Climate action and security","","","","","APRI","","en","","","","","","","","","/Users/aprilt24/Zotero/storage/MXS7KMMJ/APRI - 2025 - Climate action and security Integrating climate c.html","","Climate Security Nigeria; Environmental Conflict; Climate Action; National Security Strategy; Resource Conflict; Resilience Building; Climate Policy Integration; Nigeria; Mainstreaming Climate Action","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QQFINPNH","webpage","2025","Ebipere Clark","Redefining Climate Finance - A Dual Mandate for the Dual Transition","APRI","","","","https://afripoli.org/redefining-climate-finance-a-dual-mandate-for-the-dual-transition","Africa’s energy future needs finance for people, not just projects. It’s time for a dual mandate that powers both grids and grassroots transitions.","2025-08-19","2026-03-09 10:47:59","2026-03-11 09:27:09","2026-03-09 10:42:32","","","","","","","","","","","","APRI","","en","","","","","","","","","/Users/aprilt24/Zotero/storage/T36UCF67/APRI - 2025 - Redefining Climate Finance - A Dual Mandate for th.html","","Energy Transition; Climate Finance; Africa Energy Systems; Local Currency Finance; Consumer Finance; Clean Energy Access; Climate Policy; Renewable Energy Investment; Green Infrastructure","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BPBECPTI","webpage","2025","Ebipere Clark","Moving from plans to action: Mainstreaming climate action into Nigeria’s budget and economic planning","APRI","","","","https://afripoli.org/moving-from-plans-to-action-mainstreaming-climate-action-into-nigerias-budget-and-economic-planning","Discover how Nigeria can integrate climate action into national budgeting and planning to build resilience, attract green finance, and drive a low-carbon, sustainable economy.","2025-06-16","2026-03-09 10:47:59","2026-03-11 09:23:27","2026-03-09 10:44:28","","","","","","","Moving from plans to action","","","","","APRI","","en","","","","","","","","","/Users/aprilt24/Zotero/storage/R7AV72UP/APRI - 2025 - Moving from plans to action Mainstreaming climate.html","","Climate Finance; climate action; Economic Planning; Low-Carbon Economy; Green Budgeting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
